,model,feature,sample,acc,prop
4,LR,annual_inc,20001,95.3,52.75
5,LR,annual_inc,20001,95.3,52.75
6,LR,annual_inc,20001,95.3,52.75
7,LR,annual_inc,20001,95.3,52.75
8,LR,annual_inc,20001,95.3,52.75
9,LR,annual_inc,20001,95.3,52.75
10,LR,annual_inc,20001,95.3,52.75
0,RFC,annual_inc,20002,80.60000000000001,40.5
1,RFC,annual_inc,20002,81.45,42.15
2,RFC,annual_inc,20002,81.6,43.2
3,RFC,annual_inc,20002,82.85,44.25
4,RFC,annual_inc,20002,82.39999999999999,44.2
5,RFC,annual_inc,20002,81.3,44.800000000000004
6,RFC,annual_inc,20002,81.55,45.35
7,RFC,annual_inc,20002,81.69999999999999,45.800000000000004
8,RFC,annual_inc,20002,81.85,46.85
9,RFC,annual_inc,20002,81.89999999999999,47.099999999999994
10,RFC,annual_inc,20002,82.35,47.25
0,GBC,annual_inc,20002,95.8,51.1
1,GBC,annual_inc,20002,95.85000000000001,51.24999999999999
2,GBC,annual_inc,20002,95.89999999999999,51.2
3,GBC,annual_inc,20002,95.95,51.24999999999999
4,GBC,annual_inc,20002,95.95,51.24999999999999
5,GBC,annual_inc,20002,96.15,51.449999999999996
6,GBC,annual_inc,20002,96.1,51.4
7,GBC,annual_inc,20002,96.05,51.349999999999994
8,GBC,annual_inc,20002,96.1,51.4
9,GBC,annual_inc,20002,96.2,51.300000000000004
10,GBC,annual_inc,20002,95.95,51.349999999999994
